OrderID,OrderDate,CustomerID,Region,Channel,Category,Product,Quantity,UnitPrice,Discount,Sales,Profit
ORD-10000,2024-12-12,CUST-1094,Central,Online,Electronics,Smartphone,3,203.46,0.0,610.38,133.21
ORD-10001,2024-11-04,CUST-1003,Central,Online,Toys,Doll,1,33.54,0.0,33.54,-1.13
ORD-10002,2024-01-04,CUST-1097,South,Partner,Toys,Doll,2,364.88,0.05,693.27,185.88
ORD-10003,2024-02-17,CUST-1048,North,Store,Clothing,Sneakers,3,132.83,0.25,298.87,7.29
ORD-10004,2024-03-04,CUST-1118,West,Online,Office Supplies,Folder,3,647.63,0.2,1554.31,154.87
ORD-10005,2024-12-26,CUST-1008,North,Partner,Toys,Action Figure,5,709.51,0.05,3370.17,491.96
ORD-10006,2024-05-22,CUST-1058,East,Online,Furniture,Bookshelf,1,685.7,0.25,514.28,-68.23
ORD-10007,2024-11-27,CUST-1009,Central,Partner,Office Supplies,Stapler,2,539.44,0.2,863.1,343.44
ORD-10008,2024-11-23,CUST-1088,Central,Online,Furniture,Lamp,2,139.09,0.1,250.36,-4.18
ORD-10009,2024-05-17,CUST-1008,South,Partner,Office Supplies,Pen Pack,2,659.22,0.25,988.83,10.19
ORD-10010,2024-05-15,CUST-1017,South,Partner,Office Supplies,Notebook,4,322.55,0.2,1032.16,102.48
ORD-10011,2024-07-23,CUST-1046,South,Online,Toys,RC Car,3,600.14,0.1,1620.38,538.17
ORD-10012,2024-11-17,CUST-1020,West,Partner,Toys,Doll,1,607.07,0.25,455.3,-57.78
ORD-10013,2024-10-10,CUST-1110,North,Partner,Electronics,Smartwatch,4,480.75,0.1,1730.7,220.29
ORD-10014,2024-08-10,CUST-1020,West,Online,Electronics,Tablet,3,617.19,0.05,1758.99,-174.46
ORD-10015,2024-06-01,CUST-1107,Central,Partner,Office Supplies,Folder,2,411.07,0.0,822.14,234.52
ORD-10016,2024-09-28,CUST-1117,North,Partner,Furniture,Desk,3,612.38,0.15,1561.57,600.29
ORD-10017,2024-06-06,CUST-1030,North,Online,Office Supplies,Paper Ream,1,98.38,0.05,93.46,28.47
ORD-10018,2024-09-29,CUST-1098,South,Online,Toys,Puzzle,1,588.21,0.25,441.16,-67.88
ORD-10019,2024-04-18,CUST-1118,Central,Partner,Clothing,Hat,2,219.39,0.25,329.08,67.26
ORD-10020,2024-09-21,CUST-1057,North,Online,Furniture,Bookshelf,4,796.17,0.2,2547.74,116.91
ORD-10021,2024-04-22,CUST-1000,North,Partner,Furniture,Office Chair,3,26.62,0.15,67.88,-2.79
ORD-10022,2024-09-20,CUST-1030,East,Partner,Electronics,Laptop,1,725.28,0.25,543.96,11.03
ORD-10023,2024-05-04,CUST-1100,West,Store,Clothing,Jeans,5,114.53,0.15,486.75,79.09
ORD-10024,2024-08-27,CUST-1110,North,Partner,Furniture,Office Chair,1,530.6,0.05,504.07,32.79
ORD-10025,2024-05-07,CUST-1024,South,Partner,Electronics,Smartphone,4,585.29,0.25,1755.87,657.48
ORD-10026,2024-02-08,CUST-1056,Central,Online,Clothing,Jeans,4,154.96,0.1,557.86,-15.56
ORD-10027,2024-03-26,CUST-1052,West,Store,Electronics,Tablet,1,775.51,0.25,581.63,212.76
ORD-10028,2024-05-15,CUST-1118,West,Store,Furniture,Sofa,1,140.06,0.0,140.06,47.99
ORD-10029,2024-01-30,CUST-1074,Central,Online,Clothing,Hat,4,132.29,0.05,502.7,-21.77
ORD-10030,2024-09-28,CUST-1020,North,Partner,Office Supplies,Pen Pack,1,471.5,0.15,400.77,146.02
ORD-10031,2024-07-25,CUST-1015,Central,Online,Electronics,Laptop,1,480.08,0.2,384.06,134.86
ORD-10032,2024-10-16,CUST-1066,East,Store,Toys,RC Car,1,499.31,0.1,449.38,89.22
ORD-10033,2024-06-02,CUST-1058,East,Online,Furniture,Bookshelf,2,219.84,0.0,439.68,81.71
ORD-10034,2024-04-19,CUST-1064,East,Online,Electronics,Smartwatch,5,798.78,0.0,3993.9,-452.79
ORD-10035,2024-10-05,CUST-1090,East,Partner,Office Supplies,Pen Pack,2,301.93,0.0,603.86,41.72
ORD-10036,2024-03-09,CUST-1033,North,Online,Toys,Puzzle,5,246.51,0.2,986.04,-121.04
ORD-10037,2024-04-14,CUST-1087,East,Partner,Toys,Board Game,3,232.59,0.0,697.77,145.7
ORD-10038,2024-01-23,CUST-1000,East,Online,Clothing,Sneakers,1,82.92,0.1,74.63,21.95
ORD-10039,2024-02-27,CUST-1009,South,Partner,Office Supplies,Notebook,4,445.83,0.1,1604.99,232.64
ORD-10040,2024-06-06,CUST-1046,North,Store,Electronics,Headphones,5,446.49,0.1,2009.2,-192.61
ORD-10041,2024-07-27,CUST-1079,South,Online,Furniture,Desk,1,289.41,0.15,246.0,84.53
ORD-10042,2024-07-29,CUST-1102,South,Store,Furniture,Desk,4,29.58,0.2,94.66,36.94
ORD-10043,2024-04-12,CUST-1104,West,Store,Furniture,Office Chair,4,699.01,0.25,2097.03,238.63
ORD-10044,2024-05-22,CUST-1110,North,Store,Office Supplies,Notebook,2,28.69,0.0,57.38,2.82
ORD-10045,2024-01-15,CUST-1014,East,Online,Office Supplies,Folder,4,546.82,0.25,1640.46,258.33
ORD-10046,2024-06-09,CUST-1055,Central,Partner,Toys,Action Figure,1,95.64,0.1,86.08,2.18
ORD-10047,2024-01-01,CUST-1066,Central,Partner,Electronics,Smartwatch,5,160.16,0.0,800.8,163.68
ORD-10048,2024-11-15,CUST-1040,North,Partner,Furniture,Bookshelf,4,65.28,0.2,208.9,81.05
ORD-10049,2024-05-31,CUST-1070,South,Online,Office Supplies,Folder,3,536.85,0.05,1530.02,82.46
ORD-10050,2024-01-01,CUST-1038,East,Online,Clothing,Jacket,2,496.26,0.05,942.89,52.64
ORD-10051,2024-12-11,CUST-1027,Central,Store,Clothing,Hat,5,527.22,0.1,2372.49,186.88
ORD-10052,2024-02-17,CUST-1104,South,Partner,Furniture,Office Chair,3,417.21,0.2,1001.3,199.8
ORD-10053,2024-08-31,CUST-1078,North,Store,Office Supplies,Notebook,2,126.41,0.0,252.82,-6.97
ORD-10054,2024-05-04,CUST-1018,North,Online,Clothing,Hat,2,577.49,0.1,1039.48,112.25
ORD-10055,2024-01-26,CUST-1071,South,Online,Clothing,Jeans,2,645.25,0.2,1032.4,140.64
ORD-10056,2024-08-14,CUST-1078,Central,Store,Clothing,Jeans,4,537.39,0.15,1827.13,317.55
ORD-10057,2024-05-06,CUST-1107,East,Partner,Toys,Doll,2,597.49,0.1,1075.48,89.67
ORD-10058,2024-05-19,CUST-1042,East,Partner,Clothing,Jeans,3,357.5,0.2,858.0,-7.65
ORD-10059,2024-04-19,CUST-1008,West,Store,Electronics,Laptop,2,192.7,0.2,308.32,-28.36
ORD-10060,2024-07-18,CUST-1115,Central,Partner,Office Supplies,Folder,4,338.46,0.0,1353.84,360.72
ORD-10061,2024-07-18,CUST-1109,West,Partner,Electronics,Tablet,4,386.81,0.05,1469.88,-1.07
ORD-10062,2024-01-15,CUST-1049,East,Partner,Toys,RC Car,2,395.7,0.05,751.83,53.75
ORD-10063,2024-07-20,CUST-1075,Central,Partner,Clothing,Jeans,4,736.44,0.15,2503.9,344.84
ORD-10064,2024-05-13,CUST-1048,East,Online,Electronics,Smartphone,4,117.2,0.1,421.92,-27.72
ORD-10065,2024-08-03,CUST-1032,North,Store,Clothing,Sneakers,3,611.37,0.1,1650.7,-19.94
ORD-10066,2024-02-05,CUST-1099,North,Online,Electronics,Tablet,1,799.93,0.05,759.93,-30.31
ORD-10067,2024-12-08,CUST-1014,Central,Online,Furniture,Desk,1,500.86,0.0,500.86,-43.52
ORD-10068,2024-02-28,CUST-1099,South,Store,Clothing,Sneakers,3,142.55,0.15,363.5,141.92
ORD-10069,2024-07-11,CUST-1050,South,Online,Electronics,Tablet,1,743.82,0.15,632.25,140.34
ORD-10070,2024-11-03,CUST-1103,North,Partner,Toys,Board Game,1,560.78,0.05,532.74,154.3
ORD-10071,2024-11-27,CUST-1043,North,Store,Electronics,Headphones,5,348.42,0.05,1655.0,-201.25
ORD-10072,2024-08-23,CUST-1090,South,Store,Clothing,T-Shirt,4,769.02,0.2,2460.86,909.87
ORD-10073,2024-08-26,CUST-1055,Central,Store,Furniture,Lamp,3,496.57,0.15,1266.25,353.54
ORD-10074,2024-08-25,CUST-1072,Central,Partner,Office Supplies,Notebook,1,230.35,0.1,207.31,-6.47
ORD-10075,2024-04-18,CUST-1045,East,Store,Clothing,Sneakers,1,400.5,0.05,380.47,-23.66
ORD-10076,2024-02-13,CUST-1030,West,Store,Office Supplies,Folder,3,449.07,0.15,1145.13,436.54
ORD-10077,2024-01-09,CUST-1011,East,Online,Toys,Board Game,4,520.26,0.1,1872.94,154.18
ORD-10078,2024-09-28,CUST-1044,West,Partner,Clothing,Jeans,3,534.53,0.05,1523.41,138.92
ORD-10079,2024-04-28,CUST-1015,South,Store,Toys,Action Figure,3,565.26,0.05,1610.99,5.62
ORD-10080,2024-10-28,CUST-1097,Central,Partner,Electronics,Tablet,2,161.32,0.2,258.11,29.71
ORD-10081,2024-01-08,CUST-1090,Central,Online,Office Supplies,Pen Pack,2,244.03,0.05,463.66,-29.42
ORD-10082,2024-11-22,CUST-1111,West,Online,Office Supplies,Pen Pack,1,447.15,0.2,357.72,144.0
ORD-10083,2024-01-27,CUST-1032,West,Online,Electronics,Tablet,3,380.82,0.1,1028.21,23.25
ORD-10084,2024-03-18,CUST-1019,Central,Store,Electronics,Smartwatch,4,68.52,0.2,219.26,52.96
ORD-10085,2024-11-12,CUST-1028,Central,Store,Electronics,Laptop,1,450.88,0.1,405.79,69.06
ORD-10086,2024-11-13,CUST-1007,Central,Partner,Clothing,Jacket,3,689.53,0.1,1861.73,5.56
ORD-10087,2024-03-29,CUST-1070,North,Online,Electronics,Laptop,2,219.07,0.0,438.14,-31.31
ORD-10088,2024-04-28,CUST-1036,East,Partner,Electronics,Smartwatch,4,554.6,0.1,1996.56,-9.7
ORD-10089,2024-10-28,CUST-1084,South,Store,Clothing,T-Shirt,2,739.89,0.25,1109.84,363.47
ORD-10090,2024-02-06,CUST-1007,South,Store,Electronics,Tablet,2,521.63,0.05,991.1,274.71
ORD-10091,2024-12-24,CUST-1051,East,Partner,Toys,RC Car,3,356.93,0.1,963.71,208.1
ORD-10092,2024-06-14,CUST-1077,East,Online,Toys,Doll,4,73.55,0.0,294.2,86.7
ORD-10093,2024-12-10,CUST-1105,East,Partner,Electronics,Laptop,5,473.83,0.0,2369.15,828.7
ORD-10094,2024-04-02,CUST-1074,West,Partner,Electronics,Laptop,4,419.98,0.1,1511.93,517.48
